FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
633,28162,URN:catalog:CLO:EBIRD_CAMERICA:OBS828180177,Brotogeris jugularis,2019-11-15,2019,11,15,Colombia,CO,La Guajira,Albania,"(11.1666,-72.5477)Arroyo Bruno 75-100m","CO | La Guajira | (11.1666,-72.5477)Arroyo Bruno 75-100m",11.1666,-72.5477,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
634,28233,URN:catalog:CLO:EBIRD:OBS737324153,Brotogeris jugularis,2019-04-01,2019,4,1,Colombia,CO,Cesar,Manaure Balcón del Cesar,Perija - Drive from Manaure to Chamicero Reserve,CO | Cesar | Perija - Drive from Manaure to Chamicero Reserve,10.365,-72.9745,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
636,28269,URN:catalog:CLO:EBIRD:OBS464929959,Brotogeris jugularis,2017-02-08,2017,2,8,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
640,28399,URN:catalog:CLO:EBIRD:OBS752448563,Brotogeris jugularis,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Hatonuevo,Arroyo Tabaco,CO | La Guajira | Arroyo Tabaco,11.1075,-72.5677,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
647,28692,URN:catalog:CLO:EBIRD:OBS682797089,Brotogeris jugularis,2018-12-02,2018,12,2,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Vereda Casagrande - (10.385, -73.012)","CO | Cesar | Vereda Casagrande - (10.385, -73.012)",10.3851,-73.012,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
649,28759,URN:catalog:CLO:EBIRD:OBS376306404,Brotogeris jugularis,2016-02-07,2016,2,7,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
653,28840,URN:catalog:CLO:EBIRD:OBS735759873,Brotogeris jugularis,2019-04-06,2019,4,6,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Casagrande,CO | Cesar | Vereda Casagrande,10.3914,-73.0108,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
655,28984,URN:catalog:CLO:EBIRD:OBS753041619,Brotogeris jugularis,2019-04-29,2019,4,29,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
657,29109,URN:catalog:CLO:EBIRD:OBS701827342,Brotogeris jugularis,2019-01-23,2019,1,23,Colombia,CO,Cesar,Valledupar,"Ecoparque Los Besotes, Cesar, CO (10.567, -73.253)","CO | Cesar | Ecoparque Los Besotes, Cesar, CO (10.567, -73.253)",10.567,-73.2528,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
659,29179,URN:catalog:CLO:EBIRD:OBS714836498,Brotogeris jugularis,2019-02-12,2019,2,12,Colombia,CO,La Guajira,San Juan del Cesar,Reserva Forestal Protectora Manantial de Cañaverales,CO | La Guajira | Reserva Forestal Protectora Manantial de Cañaverales,10.7421,-72.8434,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
662,29280,URN:catalog:CLO:EBIRD:OBS772569023,Brotogeris jugularis,2019-06-04,2019,6,4,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
665,29384,URN:catalog:CLO:EBIRD:OBS362021193,Brotogeris jugularis,2015-12-19,2015,12,19,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
672,29740,URN:catalog:CLO:EBIRD:OBS588807676,Brotogeris jugularis,2018-03-15,2018,3,15,Colombia,CO,Cesar,Valledupar,"(10.524, -73.244) Los Corazones","CO | Cesar | (10.524, -73.244) Los Corazones",10.5243,-73.2438,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
673,29911,URN:catalog:CLO:EBIRD:OBS315787765,Brotogeris jugularis,2015-04-21,2015,4,21,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
674,29923,URN:catalog:CLO:EBIRD:OBS595623390,Brotogeris jugularis,2018-04-02,2018,4,2,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
678,29996,URN:catalog:CLO:EBIRD:OBS761384309,Brotogeris jugularis,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Barrancas,La Estrella - Zona Botadero,CO | La Guajira | La Estrella - Zona Botadero,11.0909,-72.564,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
