FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
836,36498,URN:catalog:CLO:EBIRD:OBS690981026,Ara militaris,2018-11-28,2018,11,28,Colombia,CO,La Guajira,Albania,Reserva Forestal Protectora Regional Montes de Oca,CO | La Guajira | Reserva Forestal Protectora Regional Montes de Oca,11.1523,-72.4454,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
838,36637,URN:catalog:CLO:EBIRD:OBS559788194,Ara militaris,2017-10-11,2017,10,11,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
842,36774,URN:catalog:CLO:EBIRD:OBS683078647,Ara militaris,2016-10-18,2016,10,18,Colombia,CO,La Guajira,Urumita,Finca La La Pradera,CO | La Guajira | Finca La La Pradera,10.5439,-73.0776,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
847,36881,URN:catalog:CLO:EBIRD:OBS696733055,Ara militaris,2019-01-10,2019,1,10,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
850,37038,URN:catalog:CLO:EBIRD:OBS837157639,Ara militaris,2019-11-19,2019,11,19,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
854,37089,URN:catalog:CLO:EBIRD:OBS752747558,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Maicao,"(11,1278,-72,4662)","CO | La Guajira | (11,1278,-72,4662)",11.1278,-72.4662,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
855,37310,URN:catalog:CLO:EBIRD:OBS691997644,Ara militaris,2018-12-28,2018,12,28,Colombia,CO,Cesar,Manaure Balcón del Cesar,Villa Adelaida Ecolodge,CO | Cesar | Villa Adelaida Ecolodge,10.3897,-73.0195,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
857,37326,URN:catalog:CLO:EBIRD_CAMERICA:OBS828146310,Ara militaris,2019-11-15,2019,11,15,Colombia,CO,La Guajira,Albania,"(11.1670,-72.5445) Arroyo Bruno 75-100 m","CO | La Guajira | (11.1670,-72.5445) Arroyo Bruno 75-100 m",11.167,-72.5445,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
864,37632,URN:catalog:CLO:EBIRD:OBS549461797,Ara militaris,2017-11-14,2017,11,14,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
866,37774,URN:catalog:CLO:EBIRD:OBS824590916,Ara militaris,2019-10-19,2019,10,19,Colombia,CO,Cesar,Manaure Balcón del Cesar,Chilapacha,CO | Cesar | Chilapacha,10.3973,-73.0456,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
